품목일련번호,품목명,큰제품이미지,분류명
200810509,뉴멘타민서방캡슐8밀리그램(갈란타민브롬화수소산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700079,기타의중추신경용약
200810522,발트렙정160밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700046,혈압강하제
200810789,수로신디정(탐스로신염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700049,기타의비뇨생식기관및항문용약
200810870,로수로드정10밀리그램(로수바스타틴칼슘),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706768099900035,동맥경화용제
200811004,슈니펜정(모니플루메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700065,해열.진통.소염제
200811104,디오살탄정160밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298782012500025,혈압강하제
200811105,디오살탄정80밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298782012500031,혈압강하제
200811403,칸데사르정8밀리그램(칸데사르탄실렉세틸),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800062,혈압강하제
200811404,칸데사르정16밀리그램(칸데사르탄실렉세틸),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800068,혈압강하제
200811619,디로탄정160mg(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700097,혈압강하제
200811883,인케어정(옥수수불검화정량추출물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700117,치과구강용약
200811971,제이코정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834126208100152,해열.진통.소염제
200900005,노페인에프정(수출용),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700155,해열.진통.소염제
200900018,깅코탄연질캡슐120밀리그램(은행엽건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mky9VD2vUV,기타의순환계용약
200900026,리버풀350연질캡슐(밀크시슬열매건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031286653200142,간장질환용제
200900193,모니맥정(모니플루메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700170,해열.진통.소염제
200900194,모니필정350밀리그램(모니플루메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6BNX,해열.진통.소염제
200900195,모니메르정(모니플루메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152648520364900007,해열.진통.소염제
200900196,모니트정350밀리그램(모니플루메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O1A3H02Ph8,해열.진통.소염제
200900242,키비칼츄어블정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700190,혼합비타민제(비타민AD혼합제제를제외)
200900378,칸데사르플러스정16_12.5밀리그램,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800074,혈압강하제
200900605,코프나캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800014,진해거담제
200900682,굿스펜연질캡슐(덱시부프로펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oikd3yeYje,해열.진통.소염제
200900823,가스파플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800050,소화성궤양용제
200900833,마이칼디정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800053,칼슘제
200900844,모빅캡슐7.5밀리그램(멜록시캄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Opnl07NLZB,해열.진통.소염제
200900845,모빅캡슐15밀리그램(멜록시캄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oa2BrqwGD-,해열.진통.소염제
200901014,코큐렉스연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800062,기타의비타민제
200901073,발크로버정500밀리그램(발라시클로비르염산염수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333342488200040,기타의화학요법제
200901148,엔에이피정(나프록센나트륨),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800080,해열.진통.소염제
200901177,메디헤모연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000003,무기질제제
200901187,이지에스정(방기황기탕건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500115,해열.진통.소염제
200901205,제일아노민정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834126208100146,기타의자양강장변질제
200902918,오렉스캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400062,기타의중추신경용약
200902983,선콜정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400068,해열.진통.소염제
200903022,베리콜노즈정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400071,해열.진통.소염제
200903023,마그놀정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400074,하제|완장제
200903040,덴티콤캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400077,치과구강용약
200903043,리버파워포르테연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400080,간장질환용제
200903044,본렉스이알캡슐15밀리그램(시클로벤자프린염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Me1jz_9pfx,골격근이완제
200903045,본렉스이알캡슐30밀리그램(시클로벤자프린염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mdm43vUUC-,골격근이완제
200903055,오메코프정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400089,해열.진통.소염제
200903065,산도스올란자핀정10밀리그램,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF873,정신신경용제
200903066,올란프레서정10mg(올란자핀),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400099,정신신경용제
200903067,산도스올란자핀정5밀리그램,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF86T,정신신경용제
200903068,올란프레서정5mg(올란자핀),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400107,정신신경용제
200903078,산도스올란자핀정2.5밀리그램,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF85t,정신신경용제
200903080,올란프레서정2.5mg(올란자핀),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400122,정신신경용제
200903183,센트룸실버정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MwITgp4WIn,혼합비타민제(비타민AD혼합제제를제외)
200903210,헤파피스연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148604072451200094,간장질환용제
200903217,메펜연질캡슐(메페남산),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400143,해열.진통.소염제
200903247,센타민플러스연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400155,기타의비타민제
200903378,헤모퀸골드캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6KEQ,무기질제제
200903392,제로민연질캡슐(디펜히드라민염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400164,최면진정제
200903395,비나코연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400167,해열.진통.소염제
200903409,리피다운캡슐120밀리그램(오르리스타트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772283900057,따로분류되지않는대사성의약품
200903482,비오펜연질캡슐(덱시부프로펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031002845800195,해열.진통.소염제
200903579,카이로정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NNuh6mJov1,진경제
200903580,덴탈에프정(옥수수불검화정량추출물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918900142,치과구강용약
200903585,마이에신캡슐(은교산),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772284000000,해열.진통.소염제
200901403,미카몰정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800116,골격근이완제
200901575,행심연질캡슐(은행엽건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000009,기타의순환계용약
200901619,알룬정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800128,따로분류되지않는대사성의약품
200901620,미니메이드정(수출용),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800131,따로분류되지않는대사성의약품
200901818,리버플란연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800137,간장질환용제
200902147,에코닉신정(클로닉신리시네이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800158,해열.진통.소염제
200902192,토넥스포르테캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706768099900101,기타의중추신경용약
200902207,헤파라이프연질캡슐350mg(밀크시슬열매건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N9-UdVMReL,간장질환용제
200902212,비타마인연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800167,기타의비타민제
200902301,그날엔정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700043,해열.진통.소염제
200902328,자베스카캡슐100밀리그램(미글루스타트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O7UMSVD8I4,따로분류되지않는대사성의약품
200902364,이프렌에스연질캡슐(덱시부프로펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1ONpCOpRdVF,해열.진통.소염제
200902452,맥스비타플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400005,혼합비타민제(비타민AD혼합제제를제외)
200902506,에델피스연질캡슐(디펜히드라민염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MgMniIZaON,최면진정제
200902577,제이에스콜드정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400017,해열.진통.소염제
200902743,오메콜캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400026,해열.진통.소염제
200902749,리드비타큐정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400029,혼합비타민제(비타민AD혼합제제를제외)
200902791,비타엔큐연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000015,기타의비타민제
200902801,카페그린정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400047,해열.진통.소염제
200902805,트리답티브정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147817442818700152,동맥경화용제
200902876,코프노캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400053,진해거담제
200902884,이젠이캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mv12iojCfp,치과구강용약
200701086,스프라이셀정50밀리그램(다사티닙),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500035,항악성종양제
200403661,에너지톤연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500043,기타의비타민제
200704968,토핀정25밀리그램(토피라메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500049,항전간제
200202184,디스톤골드연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918900100,혼합비타민제(비타민AD혼합제제를제외)
200202185,콘로친300연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918900094,혼합비타민제(비타민AD혼합제제를제외)
200709387,케티맥스정100밀리그램(푸마르산쿠에티아핀),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500074,정신신경용제
200302360,헤모윈연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148725972805200140,무기질제제
200102789,잔타놀정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500080,제산제
200402892,푸로콜에스캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500107,해열.진통.소염제
200101589,에코리자정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500115,해열.진통.소염제
200101951,한신타미놀캅셀(아세트아미노펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500118,해열.진통.소염제
200201781,아스노캅셀,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500121,진해거담제
200705825,아토스타정10밀리그램(아토르바스타틴칼슘삼수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oo7XeTdjqg,동맥경화용제
200500735,비텐지연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151914121291300098,혼합비타민제(비타민AD혼합제제를제외)
200600140,라시핀정(라시디핀),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500189,혈압강하제
200607723,포스펜정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500196,해열.진통.소염제
200612598,보령세파클러캡슐(세파클러수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500199,주로그람양성|음성균에작용하는것
200806047,리피다운캡슐60밀리그램(오르리스타트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772283900075,따로분류되지않는대사성의약품
200808168,아지탑스정250밀리그램(아지트로마이신수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300032,주로그람양성균|리케치아|비루스에작용하는것
200808280,수마트란정50밀리그램(수마트립탄숙신산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154151882208400080,해열.진통.소염제
200808340,바로디핀정5밀리그램(암로디핀베실산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706780504700036,혈압강하제
200808561,아네페질속붕정(도네페질염산염일수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333323956100001,기타의중추신경용약
200808653,사르반정80밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298766464500059,혈압강하제
200808753,레보텍캡슐(레보드로프로피진),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300083,진해거담제
200903697,로비텐연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000001,비타민C및P제
200903698,맥스콜연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000004,해열.진통.소염제
200903727,속콜파워연질캡슐(수출용),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700019,해열.진통.소염제
200903737,쿨드림연질캡슐(디펜히드라민염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000023,최면진정제
200903776,긴코센정120밀리그램(은행엽건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000031,기타의순환계용약
200903782,칼루타미정150밀리그램(비칼루타미드),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000034,항악성종양제
200903829,씨탈정(에스시탈로프람옥살산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000040,정신신경용제
200903830,미가드정2.5밀리그램(프로바트립탄숙신산염일수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151922765025100029,해열.진통.소염제
200903837,마이녹실에스캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772283900015,단백아미노산제제
200903842,비알칸다플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000052,혈압강하제
200903850,변락소정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000055,하제|완장제
200903851,콜리브정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000058,해열.진통.소염제
200903876,지르세틴정10밀리그램(세티리진염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333342488200016,항히스타민제
200903912,디펜에이정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661654875400089,해열.진통.소염제
200903964,로큅정0.25밀리그램(로피니롤염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333323956000098,기타의중추신경용약
200903969,칼인비연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mv5PQjxq6v,칼슘제
200903974,칸데모어정16밀리그램(칸데사르탄실렉세틸),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MtVfJYNxry,혈압강하제
200903986,코큐모아연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000094,기타의비타민제
200903987,칼본큐포르테플러스연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148725977858300030,칼슘제
200903993,로큅정1밀리그램(로피니롤염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661642891600062,기타의중추신경용약
200904003,덴타칸캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000106,치과구강용약
200904019,바로자미연질캡슐(디펜히드라민염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661657839800057,최면진정제
200904073,알벤프리졸정(알벤다졸),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000124,구충제
200904082,로노펜300연질캡슐(덱시부프로펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000130,해열.진통.소염제
200904122,이모돌정(옥수수불검화정량추출물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148665483160200178,치과구강용약
200904162,칸데플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000148,혈압강하제
200905961,프릴리지정60밀리그램(다폭세틴염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333333086600026,기타의비뇨생식기관및항문용약
200906066,프로코라란정5밀리그램(이바브라딘염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154597935837700008,기타의순환계용약
200906065,프로코라란정7.5밀리그램(이바브라딘염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152829795999100098,기타의순환계용약
200906578,뉴피오정(피오글리타존염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400110,당뇨병용제
200905935,칸다이플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400113,혈압강하제
200906062,페이론캡슐(아미노벤조산칼륨),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400116,따로분류되지않는대사성의약품
200905938,레복사신정250밀리그램(레보플록사신수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1ONpCOpRd7D,기타의화학요법제
200906061,피륵산정200밀리그램(부플로메딜인산피리독살),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333342488200046,혈관확장제
200905692,클라리틴정(로라타딘),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oikd3yeZPX,항히스타민제
200905939,세자르플러스프로정(로사르탄칼륨|히드로클로로티아지드),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400143,혈압강하제
200905876,칸데사플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400149,혈압강하제
200905929,애드릴정5밀리그램(이미다프릴염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MnfO1MV_5S,혈압강하제
200905644,베리콜콜드캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400158,해열.진통.소염제
200906079,에피스캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400161,기타의중추신경용약
200906023,키드업정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400176,기타의중추신경용약
200905591,판토마그정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400182,무기질제제
200906073,트랜미정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6I4D,기타의외피용약
200905776,써큐징코연질캡슐(수출용),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900006,기타의순환계용약
200905600,로페란캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900017,정장제
200905651,이모나에프캡슐(수출용),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032606603100011,치과구강용약
200905675,큐크린정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900032,하제|완장제
200905551,콘탑정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900035,혼합비타민제(비타민AD혼합제제를제외)
200905597,덱시쿨펜연질캡슐(덱시부프로펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900045,해열.진통.소염제
200905601,메디큐텐정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900055,기타의비타민제
200905926,러지펜정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900083,항히스타민제
200905479,비타모니에이스연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900093,기타의비타민제
200905514,비타올큐연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661654875400059,기타의비타민제
200905586,쎌크비타연질캡슐(수출용),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900104,기타의순환계용약
200905472,덱시카이플러스연질캡슐(덱시부프로펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032442560400084,해열.진통.소염제
200905927,메타러정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900125,골격근이완제
200905562,토코네슘연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900131,비타민E및K제
200905653,알지엔스피드연질캡슐10밀리그램(세티리진염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900136,항히스타민제
200906592,아스몬츄정5밀리그램(몬테루카스트나트륨),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151732699404500034,기타의알레르기용약
200906608,산도스프라미펙솔정0.25밀리그램(프라미펙솔염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035082651700128,기타의중추신경용약
200906613,에스케이코스카플러스프로정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Nqf2BSxndn,혈압강하제
200906602,원살탄플러스프로정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900164,혈압강하제
200906611,산도스프라미펙솔정1밀리그램(프라미펙솔염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035082651700122,기타의중추신경용약
200906599,라파뮨정2밀리그램(시롤리무스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900186,자격요법제(비특이성면역억제제를포함)
200906610,산도스프라미펙솔정0.5밀리그램(프라미펙솔염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035082651700134,기타의중추신경용약
200906585,레보세린정(레보세티리진염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152292786176700113,항히스타민제
200906588,아스몬츄정4밀리그램(몬테루카스트나트륨),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800001,기타의알레르기용약
200906557,리비알정(티볼론),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OhPOrsF6_E,난포호르몬제및황체호르몬제
200906593,제니낙스정200밀리그램(가레녹사신메실산염수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800007,기타의화학요법제
200906609,산도스프라미펙솔정0.125밀리그램(프라미펙솔염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800010,기타의중추신경용약
200906584,일양로자탄플러스프로정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333333086500016,혈압강하제
200906540,로나센정2밀리그램(블로난세린)_로나센정4밀리그램(블로난세린),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MrmYmlR4oU,정신신경용제
200906528,로핀플러스프로정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800025,혈압강하제
200906531,로펜정(방풍통성산건조엑스(4.6→1)),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800034,기타의순환계용약
200906473,훼리너프에프캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800040,무기질제제
200906384,케라민캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F68AP,단백아미노산제제
200906497,씨렉신캡슐(은교산건조엑스8.16→1),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800054,해열.진통.소염제
200906462,솔라제정(프로나제B),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834130612500018,효소제제
200906274,에피니틴캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800063,기타의중추신경용약
